"q";"a";"reasoning"
"How many activities are present in the whole workflow?";"3";"total_activities: 3"
"What is the final status of the workflow?";"Completed";"status: Completed"
"What is the time to completion of the workflow?";"Unknown";"started_at/ended_at are ~"
"List all the parameters of the first activity of the workflow";"inputs: USDA CDL 2022, HLS S30 scenes (2022); outputs: ibm-nasa-geospatial/multi-temporal-crop-classification";"DataPreparation is first activity"
"What hardware was used in the workflow?";"Unknown";"compute_hardware: ~"
"Who is responsible for this workflow (person or username or entity)?";"Unknown";"user: ~"
"What was the specific execution order of the tasks?";"DataPreparation → ModelFinetuning → ModelEvaluation";"activity DAG"
"List all parameters for all activites in the workflow";"DataPreparation: inputs=USDA CDL 2022/HLS S30 scenes; ModelFinetuning: inputs=Prithvi-100M/multi-temporal-crop-classification dataset/config file; ModelEvaluation: inputs=fine-tuned checkpoint/validation split";"activities section"
"What was the peak RAM consumption during the workflow?";"Unknown";"memory: ~"
"Has the model been trained in a distributed setting?";"Unknown";"distributed setting not mentioned"
"What was the total power consumption in Watts of the GPU(s) during the workflow?";"Unknown";"gpu power not reported"
"What significant input artifacts are involved in the generation of the finetuned model?";"ibm-nasa-geospatial/Prithvi-100M; ibm-nasa-geospatial/multi-temporal-crop-classification";"Notable Inputs to ModelFinetuning"
"What is the total energy use for completing the workflow?";"Unknown";"energy not reported"
"List all input files with size larger than 100Mb";"None listed above 100 MB";"dataset is 3854 GeoTIFF chips; individual sizes not given as >100MB"
"List all different file types used as input";"GeoTIFF";"18-band GeoTIFF chips and mask GeoTIFF"
"Identify the largest output";"Prithvi-100M-multi-temporal-crop-classification (model checkpoint)";"only output is the fine-tuned model"
"What is the science domain of the dataset?";"Remote sensing / agriculture / geospatial";"satellite imagery crop classification"
"Does the dataset have a predetermined train-test split?";"Yes; 80% train / 20% validation";"randomly split 80/20, recorded in train_data.txt/validation_data.txt"
"How many samples are present in the whole dataset?";"3,854";"3854 chips after quality control"
"What is the data type of the ground truth (if present)?";"Integer class label (0–13, CDL-derived segmentation mask)";"mask: single band with 13 class values"
"What is the specific task for which the dataset was created?";"Semantic segmentation of crop types and land cover across CONUS";"primary purpose stated in datacard"
"What is the size in byte of one sample?";"Unknown";"per-chip byte size not given"
"What is the total size of the whole dataset?";"Unknown";"total dataset byte size not given (distributed via .tgz)"
"What are the designed uses for this model?";"Crop type and land cover segmentation from HLS satellite imagery";"model card: fine-tuned for crop classification"
"How many epochs have been used in the finetuning?";"80";"80-epoch training run"
"How many model parameters (weights) does the model have?";"100M";"Prithvi-100M: 100M parameters"
"What is the science domain of the model?";"Geospatial / remote sensing / agriculture";"geospatial foundation model"
"What is the task solved by this model (regression or classification or forecast etc.)?";"Semantic segmentation";"pipeline_tag: image-segmentation"
"What is the intended use of this model?";"Classifying crop types and land cover from multi-temporal HLS imagery";"model card intended use"
"What is the size of the final model in Mb?";"Unknown";"checkpoint size not specified"
"What technique was used to fine-tune the model? (e.g. LoRa; GAN...)";"Full fine-tuning with mmsegmentation";"no LoRA; standard supervised fine-tuning via mmseg"
"What is the claimed performance of this model?";"mIoU: 0.4269; mAcc: 64.06%; aAcc: 60.64%";"results table in modelcard_finetuned"
"Are the performance shown in the pretrained version improved in the finetuning?";"Not directly comparable; pretrained model is MAE encoder, finetuned is segmentation model";"pretrained used MAE reconstruction; no segmentation baseline from pretrained alone"
