"q";"a";"reasoning"
"How many activities are present in the whole workflow?";"3";"total_activities: 3"
"What is the final status of the workflow?";"Completed";"status: Completed"
"What is the time to completion of the workflow?";"Unknown";"started_at/ended_at are ~"
"List all the parameters of the first activity of the workflow";"inputs: nvidia/Nemotron-Cascade-2-SFT-Data; nvidia/Nemotron-Cascade-2-RL-data; outputs: prepared SFT+RL splits";"DataPreparation is first activity"
"What hardware was used in the workflow?";"Consumer GPU with ≥17 GB VRAM (4-bit NF4)";"compute_hardware field"
"Who is responsible for this workflow (person or username or entity)?";"Unknown";"user: ~"
"What was the specific execution order of the tasks?";"DataPreparation → ModelFinetuning → ModelEvaluation";"activity DAG"
"List all parameters for all activites in the workflow";"DataPreparation: inputs=SFT-Data/RL-data; ModelFinetuning: inputs=Nemotron-Cascade-2-30B-A3B/SFT+RL datasets/PyTorch modeling code; params=QLoRA r64 alpha32 drop0.05 4-bit NF4; ModelEvaluation: inputs=openNemo model/public benchmarks";"activities section"
"What was the peak RAM consumption during the workflow?";"Unknown";"memory: ~"
"Has the model been trained in a distributed setting?";"Unknown";"distributed setting not mentioned explicitly"
"What was the total power consumption in Watts of the GPU(s) during the workflow?";"Unknown";"gpu power not reported"
"What significant input artifacts are involved in the generation of the finetuned model?";"nvidia/Nemotron-Cascade-2-30B-A3B; nvidia/Nemotron-Cascade-2-SFT-Data; nvidia/Nemotron-Cascade-2-RL-data";"Notable Inputs to ModelFinetuning"
"What is the total energy use for completing the workflow?";"Unknown";"energy not reported"
"List all input files with size larger than 100Mb";"nvidia/Nemotron-Cascade-2-30B-A3B (BF16 ~65 GB)";"base model is BF16 ~65 GB >> 100 MB"
"List all different file types used as input";"JSONL (packed sequences)";"SFT-Data and RL-data both in JSONL format"
"Identify the largest output";"openNemo-Cascade-2-30B-A3B (~17 GB at 4-bit NF4)";"VRAM: ~17 GB at 4-bit; full BF16 ~65 GB"
"What is the science domain of the dataset?";"General-purpose reasoning / math / science / software engineering";"multi-domain: math, science, chat, SWE, etc."
"Does the dataset have a predetermined train-test split?";"No fixed split; RL data has named subsets (IF-RL/multi-domain-RL/MOPD/SWE-RL)";"no train/test split defined in datacard"
"How many samples are present in the whole dataset?";"~24.8M (SFT) + 73,809 (RL) = ~24.87M total";"SFT-Data: ~24.8M samples; RL-data: 73,809 samples"
"What is the data type of the ground truth (if present)?";"Not applicable (SFT: instruction-response pairs; RL: reward signals)";"datasets are instruction-following pairs, not traditional ground truth"
"What is the specific task for which the dataset was created?";"SFT and RL training for reasoning, instruction following, and software engineering";"dataset intended usage section"
"What is the size in byte of one sample?";"Unknown";"per-sample size not given"
"What is the total size of the whole dataset?";"SFT-Data: unspecified; RL-data: ~2.73 GB total";"RL datacard: Total Disk Size: ~2.73 GB; SFT size not given"
"What are the designed uses for this model?";"Reasoning; instruction following; software engineering; math; science; general chat";"domains covered in SFT-Data"
"How many epochs have been used in the finetuning?";"~1.5 epochs (SFT stage)";"SFT model reaches optimal after ~1.5 epochs per datacard"
"How many model parameters (weights) does the model have?";"30.87B total; ~3B active per token";"architecture table in modelcard_finetuned"
"What is the science domain of the model?";"General-purpose reasoning / multi-domain";"covers math, science, SWE, chat"
"What is the task solved by this model (regression or classification or forecast etc.)?";"Text generation / reasoning / instruction following";"pipeline_tag: text-generation"
"What is the intended use of this model?";"General-purpose reasoning, coding, math, instruction following on consumer GPUs";"openNemo model card intended use"
"What is the size of the final model in Mb?";"~17,408 MB at 4-bit NF4 (~17 GB)";"4-bit NF4: ~17 GB VRAM"
"What technique was used to fine-tune the model? (e.g. LoRa; GAN...)";"QLoRA (4-bit NF4, LoRA rank 64)";"QLoRA r=64 described in workflow and modelcard"
"What is the claimed performance of this model?";"IMO 2025: 35pts (Gold); IOI 2025: 439.3 (Gold); AIME 2025: 92.4; AIME 2026: 90.9; LiveCodeBench v6: 87.2; MMLU-Pro: 79.8; GPQA-Diamond: 76.1";"evaluation_report in ModelEvaluation activity"
"Are the performance shown in the pretrained version improved in the finetuning?";"Yes; openNemo inherits Nemotron-Cascade-2 gold medal results; finetuning adds consumer GPU compatibility";"benchmarks match original Nemotron-Cascade-2 from NVIDIA technical report"
