"q";"a";"reasoning"
"How many activities are present in the whole workflow?";"3";"workflow card: total_activities: 3"
"What is the final status of the workflow?";"Completed";"workflow card: status: Completed"
"What is the time to completion of the workflow?";"Unknown";"started_at and ended_at are both ~"
"List all the parameters of the first activity of the workflow";"inputs: HealthCareMagic-100k, iCliniq-10k; outputs: avaliev/chat_doctor";"DataPreparation is the first activity"
"What hardware was used in the workflow?";"H100-80GB GPU cluster";"Resource Usage: gpu field"
"Who is responsible for this workflow (person or username or entity)?";"Unknown";"user field is ~"
"What was the specific execution order of the tasks?";"DataPreparation → ModelFinetuning → ModelEvaluation";"activity DAG listed in order"
"List all parameters for all activites in the workflow";"DataPreparation: inputs=HealthCareMagic-100k/iCliniq-10k; ModelFinetuning: inputs=Llama-3.2-3B-Instruct/chat_doctor; ModelEvaluation: inputs=Llama-Doctor-3.2-3B-Instruct";"activities section of workflow card"
"What was the peak RAM consumption during the workflow?";"Unknown";"memory field is ~"
"Has the model been trained in a distributed setting?";"No";"fine-tuning hardware not specified; no distributed setting mentioned"
"What was the total power consumption in Watts of the GPU(s) during the workflow?";"Unknown";"gpu power not reported"
"What significant input artifacts are involved in the generation of the finetuned model?";"meta-llama/Llama-3.2-3B-Instruct; avaliev/chat_doctor";"Notable Inputs to ModelFinetuning activity"
"What is the total energy use for completing the workflow?";"Unknown";"energy not reported"
"List all input files with size larger than 100Mb";"meta-llama/Llama-3.2-3B-Instruct (~6.43 GB)";"size ~6.43 GB >> 100 MB"
"List all different file types used as input";"safetensors (model weights); HuggingFace dataset JSON (instruction triples)";"from Notable Inputs formats"
"Identify the largest output";"Llama-Doctor-3.2-3B-Instruct (~6.43 GB)";"Notable Outputs size ~6.43 GB"
"What is the science domain of the dataset?";"Medical / Healthcare";"dataset is medical patient-doctor conversations"
"Does the dataset have a predetermined train-test split?";"No explicit split; 110k examples used for SFT";"datacard does not define a fixed split"
"How many samples are present in the whole dataset?";"110,000";"100k HealthCareMagic + 10k iCliniq"
"What is the data type of the ground truth (if present)?";"Text (instruction/input/output triples)";"format: instruction/input/output JSON triples"
"What is the specific task for which the dataset was created?";"Supervised fine-tuning of medical conversational QA";"dataset purpose stated in datacard"
"What is the size in byte of one sample?";"Unknown";"per-sample byte size not reported"
"What is the total size of the whole dataset?";"Unknown";"total dataset size in bytes not reported"
"What are the designed uses for this model?";"Conversational AI; medical consultation; content creation; instruction following";"Key Use Cases in modelcard_finetuned"
"How many epochs have been used in the finetuning?";"Unknown";"epochs not specified"
"How many model parameters (weights) does the model have?";"3.21B";"architecture identical to base Llama-3.2-3B-Instruct"
"What is the science domain of the model?";"Medical / Healthcare";"fine-tuned on medical dialogue dataset"
"What is the task solved by this model (regression or classification or forecast etc.)?";"Text generation / conversational QA";"pipeline_tag: text-generation"
"What is the intended use of this model?";"Chatbot and medical consultation tool for patient queries";"Intended Applications in modelcard_finetuned"
"What is the size of the final model in Mb?";"~6,430 MB (6.43 GB)";"two-shard BF16 safetensors ~6.43 GB"
"What technique was used to fine-tune the model? (e.g. LoRa; GAN...)";"Full supervised fine-tuning (SFT)";"no LoRA/QLoRA mentioned; standard fine-tuning"
"What is the claimed performance of this model?";"Qualitative evaluation only; no quantitative benchmarks published";"evaluation_report: qualitative assessment"
"Are the performance shown in the pretrained version improved in the finetuning?";"Unknown; no quantitative pretrained benchmarks to compare";"pretrained model card has no task-specific benchmark"
